Name,AnomalyScore
1894,0.4726520900174713
1895,0.5884899972365916
1896,1.8870516304195264
1897,0.5096988375885173
1898,1.927510376153398
1899,1.9649737556436344
1900,1.9065935123545656
1901,1.8919210874199874
1902,1.9152342665737558
1903,0.5181408013692749
1904,0.4630674934915195
1905,1.9398805921275435
1906,0.46681138158994634
1907,0.5107360927117808
1908,1.9306360651806507
1909,1.9318598346052915
1910,1.9368946692444904
1911,1.9347344920886809
1912,0.5314103935071415
1913,1.9259435302372956
1914,1.9444540535114618
1915,0.4802744440623646
1916,0.5247161959834578
1917,1.9277729246924515
1918,1.9267069035858262
1919,0.5113317829340321
1920,0.5038573592672873
1921,0.5016407309855648
1922,0.5572160144607632
1923,0.5462320318776815
1924,1.9260695774987995
1925,1.9296754442944064
1926,1.9298765359419725
1927,0.4904813753887323
1928,0.5781274855711096
1929,1.9214688072956014
1930,0.531635520957756
1931,1.9123326241894776
1932,1.9057366928368908
1933,1.9275582078903473
1934,1.9373217589615757
1935,0.5100759102303368
1936,1.9235581175249008
1937,0.4953790633316877
1938,1.9261925716416557
1939,0.5359905645222381
1940,1.9350795634381477
1941,1.9344776963618535
1942,0.5161049551538631
1943,0.4927485917362604
1944,1.9434280738468952
1945,1.9104163365960336
1946,0.5329669310375923
1947,0.5140724202932171
1948,0.4795335318148309
1949,1.923018151162801
1950,0.5200661031755588
1951,0.521643845866798
1952,0.48910997440991416
1953,0.5015875120418423
1954,1.939083501236116
1955,0.4924384911077956
1956,1.9366078169347551
1957,1.9433922267581065
1958,0.4687768869567138
1959,1.9425102662198879
1960,0.48564164722372083
1961,0.5326903960224361
1962,1.936299446164776
1963,1.9415849266437535
1964,1.940556184995391
1965,0.46656535259007
1966,1.9434926565835213
1967,1.9395368981852552
1968,0.5708065787906754
1969,0.5494495613505056
1970,1.9402618255053368
1971,1.9411794648320115
1972,1.9400204107411945
1973,0.4896602429021331
1974,1.9406471951952056
1975,0.48510004436671256
1976,1.9372135030612094
1977,0.5355912586542569
1978,0.5233719481907698
1979,0.49539089361607896
1980,1.9309066694728856
1981,1.927894390983482
1982,1.9370969036669374
1983,0.5065617903526687
1984,0.5285430616987699
1985,0.4953095442108949
1986,0.49710865026717116
1987,0.4891651188694536
1988,0.48558092943339876
1989,1.9311914791496474
1990,1.9412299602812906
1991,1.9378756770940875
1992,0.4999383886667112
1993,1.9323224328483417
1994,1.9354820904198289
1995,1.92356841188224
1996,1.9371258988346314
1997,0.47521651364686485
1998,1.9370266194880932
1999,1.9274164304851722
2000,0.4981949601033308
2001,1.9328739051108534
2002,0.5103000510913988
2003,1.9315650728139055
2004,0.5279786015064839
2005,0.5111011554902354
2006,1.9302975455921685
